Store Number,Dba,Store Name,Address,City,State,Zip Code,Phone Number,Fax Number,Email Address,Website Address,Latitude,Longitude,Geo Accuracy,Country,Country Code,County
"98","PostalAnnex+","Sun Lakes Shopping Center","300 S Highland Springs Ave Ste 6C","Banning","CA","92220-6508","(951) 769-7170","(951) 769-7166","pa98@postalannex.com","http://www.postalannex.com/98","33.9235783","-116.9459899","SUBPREMISE: ROOFTOP","United States","US","Riverside County"
"99","PostalAnnex+","Raleigh Hills West","6663 SW Beaverton Hillsdale Hwy","Portland","OR","97225-1403","(503) 297-6120","(503) 297-7838","pa99@postalannex.com","http://www.postalannex.com/99","45.4877365","-122.7443418","PREMISE: ROOFTOP","United States","US","Washington County"
"102","PostalAnnex+","Menifee Shopping Center","30141 Antelope Rd Ste D","Menifee","CA","92584-8066","(951) 679-2600","(951) 679-1599","pa102@postalannex.com","http://www.postalannex.com/102","33.6831035","-117.1700328","SUBPREMISE: ROOFTOP","United States","US","Riverside County"
"106","PostalAnnex+","Piazza Carmel/Von's Shopping Center","3830 Valley Centre Dr Ste 705","San Diego","CA","92130-3307","(858) 350-1274","(858) 350-1273","pa106@postalannex.com","http://www.postalannex.com/106","32.9398655","-117.2312263","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"111","PostalAnnex+","Gateway Plaza","39270 Paseo Padre Pkwy","Fremont","CA","94538-1616","(510) 713-8531","(510) 713-8533","pa111@postalannex.com","http://www.postalannex.com/111","37.553354","-121.9784408","STREET_ADDRESS: ROOFTOP","United States","US","Alameda County"
"113","PostalAnnex+","","15732 Los Gatos Blvd","Los Gatos","CA","95032-2504","(408) 356-1236","(408) 356-1296","pa113@postalannex.com","http://www.postalannex.com/113","37.2400497","-121.960045","STREET_ADDRESS: ROOFTOP","United States","US","Santa Clara County"
"116","PostalAnnex+","","16409 SE Division St Ste 216","Portland","OR","97236-1982","(503) 761-7121","(503) 761-1412","pa116@postalannex.com","http://www.postalannex.com/116","45.5055492","-122.4951634","SUBPREMISE: ROOFTOP","United States","US","Multnomah County"
"117","PostalAnnex+","Elkhorn Plaza","5325 Elkhorn Blvd","Sacramento","CA","95842-2526","(916) 349-2444","(916) 349-1620","pa117@postalannex.com","http://www.postalannex.com/117","38.6871384","-121.3405369","STREET_ADDRESS: ROOFTOP","United States","US","Sacramento County"
"121","PostalAnnex+","Crossroads Shopping Center","8001 N Mesa St Ste E","El Paso","TX","79932-1670","(915) 585-0045","(915) 585-0037","pa121@postalannex.com","http://www.postalannex.com/121","31.8400535","-106.5770349","SUBPREMISE: ROOFTOP","United States","US","El Paso County"
"125","PostalAnnex+","","1177 Branham Ln","San Jose","CA","95118-3766","(408) 269-7000","(408) 269-0659","pa125@postalannex.com","http://www.postalannex.com/125","37.2627367","-121.8792791","STREET_ADDRESS: ROOFTOP","United States","US","Santa Clara County"
"128","PostalAnnex+","","1336 N Moorpark Rd","Thousand Oaks","CA","91360-5224","(805) 497-6245","(805) 494-9399","pa128@postalannex.com","http://www.postalannex.com/128","34.1968056","-118.8688727","PREMISE: ROOFTOP","United States","US","Ventura County"
"131","Parcel Plus","","5161 San Felipe St Ste 320","Houston","TX","77056-3640","(713) 623-4848","(713) 623-2389","pp131@parcelplus.com","http://www.parcelplus.com/131","29.7493342","-95.4659542","SUBPREMISE: ROOFTOP","United States","US","Harris County"
"131","PostalAnnex+","","3529 Cannon Rd Ste 2B","Oceanside","CA","92056-4985","(760) 631-2057","(760) 631-4331","pa131@postalannex.com","http://www.postalannex.com/131","33.1729514","-117.2539295","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"133","PostalAnnex+","","3900 Pelandale Ave Ste 420","Modesto","CA","95356-9104","(209) 545-2301","(209) 545-4555","pa133@postalannex.com","http://www.postalannex.com/133","37.6988994","-121.0675301","SUBPREMISE: ROOFTOP","United States","US","Stanislaus County"
"137","PostalAnnex+","","350 Bay St Ste 100","San Francisco","CA","94133-1998","(415) 772-9022","(415) 772-9023","pa137@postalannex.com","http://www.postalannex.com/137","37.8059079","-122.412709","SUBPREMISE: ROOFTOP","United States","US","San Francisco County"
"138","Parcel Plus","","10900 Research Blvd Ste 160C","Austin","TX","78759-5718","(512) 418-9983","(512) 418-9990","pp138@parcelplus.com","http://www.parcelplus.com/138","30.4016439","-97.747345","SUBPREMISE: ROOFTOP","United States","US","Travis County"
"138","PostalAnnex+","Smart & Final Shopping Center","7107 Broadway","Lemon Grove","CA","91945-1436","(619) 460-4420","(619) 460-4871","pa138@postalannex.com","http://www.postalannex.com/138","32.742166","-117.0449939","STREET_ADDRESS: ROOFTOP","United States","US","San Diego County"
"144","PostalAnnex+","Crossings Shopping Center","3377 Deer Valley Rd","Antioch","CA","94531-6664","(925) 706-0166","(925) 706-0172","pa144@postalannex.com","http://www.postalannex.com/144","37.9874051","-121.7842886","STREET_ADDRESS: ROOFTOP","United States","US","Contra Costa County"
"145","Parcel Plus","","5826 New Territory Blvd","Sugar Land","TX","77479-5948","(281) 565-1515","(281) 565-1517","pp145@parcelplus.com","http://www.parcelplus.com/145","29.5891466","-95.6756049","STREET_ADDRESS: ROOFTOP","United States","US","Fort Bend County"
"146","Parcel Plus","","13121 Louetta Rd","Cypress","TX","77429-5155","(281) 376-0054","(281) 376-0056","pp146@parcelplus.com","http://www.parcelplus.com/146","29.9948224","-95.6210804","STREET_ADDRESS: ROOFTOP","United States","US","Harris County"
"148","PostalAnnex+","Ralph's Carson Plaza","603 E University Dr Ste B","Carson","CA","90746-1971","(310) 538-8285","(310) 538-4869","pa148@postalannex.com","http://www.postalannex.com/148","33.8584746","-118.2656862","SUBPREMISE: ROOFTOP","United States","US","Los Angeles County"
"157","PostalAnnex+","","2588 El Camino Real Ste F","Carlsbad","CA","92008-1212","(760) 729-1115","(760) 729-0427","pa157@postalannex.com","http://www.postalannex.com/157","33.1780875","-117.3254461","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"158","PostalAnnex+","Ygnacio Plaza","1839 Ygnacio Valley Rd Ste B","Walnut Creek","CA","94598-3214","(925) 937-4142","(925) 937-4645","pa158@postalannex.com","http://www.postalannex.com/158","37.917933","-122.0365056","SUBPREMISE: ROOFTOP","United States","US","Contra Costa County"
"164","PostalAnnex+","Oak Grove Plaza","785 Oak Grove Rd Ste E2","Concord","CA","94518-3617","(925) 687-7151","(925) 687-7154","pa164@postalannex.com","http://www.postalannex.com/164","37.9373419","-122.0256228","PREMISE: ROOFTOP","United States","US","Contra Costa County"
"166","Parcel Plus","","1602 Belle View Blvd","Alexandria","VA","22307-6531","(703) 660-0080","(703) 768-2410","pp166@parcelplus.com","http://www.parcelplus.com/166","38.7750124","-77.060116","STREET_ADDRESS: RANGE_INTERPOLATED","United States","US","Fairfax County"
"168","PostalAnnex+","Montwood Shopping Center","2200 N Yarbrough Dr Ste B","El Paso","TX","79925-6333","(915) 592-4783","(915) 592-4786","pa168@postalannex.com","http://www.postalannex.com/168","31.7736036","-106.3380252","SUBPREMISE: ROOFTOP","United States","US","El Paso County"
"169","Parcel Plus","","1539 S Mason Rd","Katy","TX","77450-4559","(281) 398-4200","(281) 398-1058","pp169@parcelplus.com","http://www.parcelplus.com/169","29.7604309","-95.7507888","STREET_ADDRESS: ROOFTOP","United States","US","Harris County"
"170","PostalAnnex+","Twin Oaks Shopping Center","5737 Kanan Rd","Agoura Hills","CA","91301-1601","(818) 707-9197","(818) 707-9199","pa170@postalannex.com","http://www.postalannex.com/170","34.1555359","-118.7580541","STREET_ADDRESS: ROOFTOP","United States","US","Los Angeles County"
"174","PostalAnnex+","","35 Miller Ave","Mill Valley","CA","94941-1903","(415) 381-1486","(415) 381-1244","pa174@postalannex.com","http://www.postalannex.com/174","37.9051987","-122.5470149","STREET_ADDRESS: ROOFTOP","United States","US","Marin County"
"177","PostalAnnex+","Ralph's","8677 Villa La Jolla Dr","La Jolla","CA","92037-2354","(858) 453-9798","(858) 453-9860","pa177@postalannex.com","http://www.postalannex.com/177","32.8659968","-117.2334252","STREET_ADDRESS: RANGE_INTERPOLATED","United States","US","San Diego County"
"178","PostalAnnex+","Walker Center","2850 SW Cedar Hills Blvd","Beaverton","OR","97005-1354","(503) 641-3917","(503) 641-4584","pa178@postalannex.com","http://www.postalannex.com/178","45.4991761","-122.8060077","STREET_ADDRESS: ROOFTOP","United States","US","Washington County"
"184","PostalAnnex+","Food 4 Less Shopping Center","7710 Hazard Center Dr Ste E","San Diego","CA","92108-4552","(619) 295-8810","(619) 295-8010","pa184@postalannex.com","http://www.postalannex.com/184","32.771151","-117.1559456","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"186","PostalAnnex+","Von's Center","17100 Bear Valley Rd Ste B","Victorville","CA","92395-5852","(760) 951-7311","(760) 951-8825","pa186@postalannex.com","http://www.postalannex.com/186","34.4720474","-117.2892435","SUBPREMISE: ROOFTOP","United States","US","San Bernardino County"
"188","PostalAnnex+","Eastlake Village Center","2220 Otay Lakes Rd Ste 502","Chula Vista","CA","91915-1009","(619) 656-8484","(619) 656-8486","pa188@postalannex.com","http://www.postalannex.com/188","32.6459803","-116.9681312","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"190","PostalAnnex+","Barnes-Miller Village","7327 SW Barnes Rd","Portland","OR","97225-6119","(503) 203-8404","(503) 203-8306","pa190@postalannex.com","http://www.postalannex.com/190","45.5161977","-122.7525422","STREET_ADDRESS: ROOFTOP","United States","US","Washington County"
"191","PostalAnnex+","Riverwood Center","8152 SW Hall Blvd","Beaverton","OR","97008-6415","(503) 671-9478","(503) 626-9149","pa191@postalannex.com","http://www.postalannex.com/191","45.4612473","-122.7935781","STREET_ADDRESS: ROOFTOP","United States","US","Washington County"
"195","PostalAnnex+","Cascade Commons","2149 Cascade Ave Ste 106A","Hood River","OR","97031-1087","(541) 386-6122","(541) 386-1654","pa195@postalannex.com","http://www.postalannex.com/195","45.7088522","-121.5339542","SUBPREMISE: ROOFTOP","United States","US","Hood River County"
"196","PostalAnnex+","Fisher's Landing Towncenter","16420 SE McGillivray Blvd Ste 103","Vancouver","WA","98683-3599","(360) 891-2484","(360) 891-2515","pa196@postalannex.com","http://www.postalannex.com/196","45.6064013","-122.5030518","SUBPREMISE: ROOFTOP","United States","US","Clark County"
"201","Parcel Plus","","2503-D N Harrison St","Arlington","VA","22207-1616","(703) 752-1888","(703) 752-1890","pp201@parcelplus.com","http://www.parcelplus.com/201","38.8978017","-77.1389153","STREET_ADDRESS: ROOFTOP","United States","US","Arlington County"
"204","Parcel Plus","","1510 Eldridge Pkwy Ste 110","Houston","TX","77077-1760","(281) 589-6245","(281) 589-6575","pp204@parcelplus.com","http://www.parcelplus.com/204","29.7578051","-95.6266827","SUBPREMISE: ROOFTOP","United States","US","Harris County"
"216","PostalAnnex+","Town & Country Shopping Center","816 West Francis Ave","Spokane","WA","99205-6512","(509) 328-3354","(509) 328-3241","pa216@postalannex.com","http://www.postalannex.com/216","47.7161115","-117.4239246","STREET_ADDRESS: ROOFTOP","United States","US","Spokane County"
"222","Parcel Plus","","402 King Farm Blvd Ste 125","Rockville","MD","20850-5899","(301) 590-0300","(301) 590-0758","pp222@parcelplus.com","http://www.parcelplus.com/222","39.1136842","-77.1722948","SUBPREMISE: ROOFTOP","United States","US","Montgomery County"
"222","PostalAnnex+","Hickory Hollow Kroger Shopping Ct","5331 Mount View Rd","Antioch","TN","37013-2308","(615) 731-8855","(615) 731-5007","pa222@postalannex.com","http://www.postalannex.com/222","36.0490468","-86.6468931","STREET_ADDRESS: ROOFTOP","United States","US","Davidson County"
"223","PostalAnnex+","Oak Hill Center","6705 W Highway 290 Ste 502","Austin","TX","78735-8407","(512) 892-1450","(512) 892-1566","pa223@postalannex.com","http://www.postalannex.com/223","30.235615","-97.8536471","SUBPREMISE: ROOFTOP","United States","US","Travis County"
"225","Parcel Plus","","14432 Bellaire Blvd","Houston","TX","77083-7520","(281) 530-1101","(281) 530-1131","pp225@parcelplus.com","http://www.parcelplus.com/225","29.7051005","-95.6408451","STREET_ADDRESS: ROOFTOP","United States","US","Harris County"
"225","PostalAnnex+","Oswego Town Square","3 Monroe Pkwy Ste P","Lake Oswego","OR","97035-8899","(503) 635-3830","(503) 635-1230","pa225@postalannex.com","http://www.postalannex.com/225","45.4339228","-122.702752","SUBPREMISE: ROOFTOP","United States","US","Multnomah County"
"226","PostalAnnex+","Del Prado Square","530C Alameda del Prado","Novato","CA","94949-6067","(415) 883-2486","(415) 883-2488","pa226@postalannex.com","http://www.postalannex.com/226","38.0657449","-122.539468","PREMISE: ROOFTOP","United States","US","Marin County"
"234","PostalAnnex+","","197 Woodland Pkwy Ste 104","San Marcos","CA","92069-3020","(760) 744-9648","(760) 744-9658","pa234@postalannex.com","http://www.postalannex.com/234","33.141113","-117.138947","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
"236","PostalAnnex+","","212 W Ironwood Dr Ste D","Coeur d' Alene","ID","83814-1403","(208) 666-1823","(208) 666-8982","pa236@postalannex.com","http://www.postalannex.com/236","47.693711","-116.7889858","SUBPREMISE: ROOFTOP","United States","US","Kootenai County"
"241","PostalAnnex+","Rancho San Diego - Kohl's/Ralph's","2514 Jamacha Rd Ste 502","El Cajon","CA","92019-4492","(619) 660-9874","(619) 660-9302","pa241@postalannex.com","http://www.postalannex.com/241","32.7459921","-116.9302021","SUBPREMISE: ROOFTOP","United States","US","San Diego County"
