Store Num,Store Name,Address,City,State,Zip Code,Phone Number,Email Address,Store Hours,Services,Air Pickup Times,Ground Pickup Times,Fax Number,Latitude,Longitude,Details Link,Geo Accuracy,County,Country,Country Code
"3191","On Geist One Block West Of University Avenue Next To Mcdonald's","3875 Geist Rd Ste E","Fairbanks","AK","99709","(907) 479-2250","store3191@theupsstore.com","Monday - Friday: 9:00 am - 7:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 1:00 pm Saturday 3:00 pm","Monday - Friday 6:30 pm","(907) 479-2280","64.8487237","-147.8177683","https://fairbanks-ak-3191.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Fairbanks North Star","United States","US"
"3548","Key Bank Plaza","1150 S Colony Way Ste 3","Palmer","AK","99645","(907) 746-6245","store3548@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 10:00 am - 5:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 12:00 pm","Monday - Friday 5:00 pm","(907) 745-8787","61.5949875","-149.1175489","https://palmer-ak-3548.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Matanuska-Susitna","United States","US"
"2752","Across From King Salmon Motel Near Joann Fabric And Coldstone Ice Cream","35555 Spur Hwy","Soldotna","AK","99669","(907) 262-8774","store2752@theupsstore.com","Monday - Friday: 8:30 am - 6:30 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 9:30 am","Monday - Friday 5:30 pm","(907) 262-8787","60.495773","-151.071175","https://soldotna-ak-2752.theupsstorelocal.com/","POINT_OF_INTEREST: APPROXIMATE","","United States","US"
"2050","","2521 E Mountain Village Dr Ste B","Wasilla","AK","99654","(907) 376-6245","store2050@theupsstore.com","Monday - Friday: 8:00 am - 7:00 pm Saturday: 10:00 am - 2:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 12:00 pm","Monday - Friday 6:00 pm","(907) 373-2329","61.5734493","-149.3877743","https://wasilla-ak-2050.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Matanuska-Susitna","United States","US"
"4347","B&J Rainbow Center - Parks Hwy/Pittman Rd","7362 W Parks Hwy","Wasilla","AK","99654","(907) 373-6245","store4347@theupsstore.com","Monday - Friday: 8:30 am - 6:30 pm Saturday: 9:30 am - 5:30 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 11:00 am","Monday - Friday 3:00 pm","(907) 376-1329","61.5816698","-149.6345366","https://wasilla-ak-4347.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Matanuska-Susitna","United States","US"
"3330","Greenbrier Station At Greenbrier Road And Golden Springs Road","1414 Golden Springs Rd","Anniston","AL","36207","(256) 835-8884","store3330@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:00 pm","Monday - Friday 6:00 pm","(256) 835-8830","33.6283216","-85.7861368","https://anniston-al-3330.theupsstorelocal.com/","STREET_ADDRESS: RANGE_INTERPOLATED","Calhoun County","United States","US"
"4222","Flint's Crossing Shopping Center Across From Colonial Mall","1550 Opelika Rd Ste 6","Auburn","AL","36830","(334) 466-0555","store4222@theupsstore.com","Monday - Friday: 8:30 am - 6:30 pm Saturday: 8:30 am - 4:30 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 6:00 pm Saturday 1:00 pm","Monday - Friday 6:00 pm","(334) 466-0588","32.623432","-85.4469861","https://auburn-al-4222.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Lee County","United States","US"
"5790","Morgan Rd Behind Arby's And The Waffle House","3985 Parkwood Road Ste 109","Bessemer","AL","35022","(205) 230-0088","store5790@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 12:00 pm","Monday - Friday 5:30 pm","(205) 230-0090","33.3380239","-86.9160984","https://bessemer-al-5790.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Jefferson County","United States","US"
"4015","Frank Nelson Building - 20Th Street N. Between 2Nd And 3Rd Ave N.","209 20Th St N","Birmingham","AL","35203","(205) 453-0453","store4015@theupsstore.com","Monday - Friday: 7:30 am - 6:30 pm Saturday: 9:00 am - 1:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 11:00 am","Monday - Friday 5:30 pm","(205) 208-0250","33.5158235","-86.8063701","https://birmingham-al-4015.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Jefferson County","United States","US"
"4088","5 Points South","1116 20Th Street South","Birmingham","AL","35205","(205) 918-1600","store4088@theupsstore.com","Monday - Friday: 7:30 am - 7:00 pm Saturday: 9:00 am - 4:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:00 pm","Monday - Friday 5:00 pm","(205) 918-0121","33.4998828","-86.7962129","https://birmingham-al-4088.theupsstorelocal.com/","PREMISE: ROOFTOP","Jefferson County","United States","US"
"3677","Green Springs Hwy, Near Publix In Homewood","429 Green Springs Hwy Ste 161","Birmingham","AL","35209","(205) 945-8200","store3677@theupsstore.com","Monday - Friday: 8:00 am - 6:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 6:00 pm Saturday 3:00 pm","Monday - Friday 6:00 pm","(205) 945-8255","33.4645634","-86.819104","https://birmingham-al-3677.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Jefferson County","United States","US"
"3213","Country Club Park - Euclid Avenue","217 Country Club Park","Birmingham","AL","35213","(205) 870-7797","store3213@theupsstore.com","Monday - Friday: 8:00 am - 6:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 12:00 pm","Monday - Friday 5:30 pm","(205) 870-7798","33.5023853","-86.7579654","https://birmingham-al-3213.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Jefferson County","United States","US"
"255","Corner Of Highway 280 And Valleydale Road","130 Inverness Plaza","Birmingham","AL","35242","(205) 991-9999","store0255@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:45 pm Saturday 12:00 pm","Monday - Friday 5:45 pm","(205) 991-3877","33.4199571","-86.6975264","https://birmingham-al-0255.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Shelby County","United States","US"
"4648","Corner Of Hwy 280 & Doug Baker Blvd","270 Doug Baker Blvd Ste 700","Birmingham","AL","35242","(205) 408-9399","store4648@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:45 pm Saturday 12:00 pm","Monday - Friday 5:45 pm","(205) 408-9983","33.411192","-86.671383","https://birmingham-al-4648.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Shelby County","United States","US"
"3596","North Pelham Square","9340 Helena Rd Ste F","Birmingham","AL","35244","(205) 403-2881","store3596@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 8:30 am - 2:30 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 5:00 pm Saturday 12:00 pm","Monday - Friday 5:00 pm","(205) 419-5100","33.3445516","-86.7976296","https://birmingham-al-3596.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Shelby County","United States","US"
"6068","Located Off Of Hwy 70 In The Publix Shopping Center Next To Pizza Hut","136 Marketplace Circle Suite B","Calera","AL","35040","(205) 668-4822","store6068@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 5:30 pm Saturday 10:30 am","Monday - Friday 5:30 pm","(205) 668-4455","33.1565052","-86.7479837","https://calera-al-6068.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Shelby County","United States","US"
"6487","1.5 Miles Of Exit 205 - Across From The High School","703 Logan Rd","Clanton","AL","35045","(205) 755-6400","store6487@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 2:30 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 12:00 pm","Monday - Friday 5:30 pm","(205) 755-6440","32.8202407","-86.6128907","https://clanton-al-6487.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Chilton County","United States","US"
"3136","South Cullman Shopping Center","1612 2Nd Ave Sw","Cullman","AL","35055","(256) 737-9079","store3136@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 8:30 am - 2:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 11:00 am","Monday - Friday 5:30 pm","(256) 737-9690","34.1621122","-86.8348007","https://cullman-al-3136.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Cullman County","United States","US"
"2971","Daphne Square - 1/4 Mile North Of Target Next To Pep Boys","2200 Hwy 98 Ste 4","Daphne","AL","36526","(251) 626-9600","store2971@theupsstore.com","Monday - Friday: 7:00 am - 6:00 pm Saturday: 9:00 am - 1:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Postcards","Monday - Friday 5:30 pm Saturday 11:00 am","Monday - Friday 5:30 pm","(251) 626-9615","30.6099124","-87.8988854","https://daphne-al-2971.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Baldwin County","United States","US"
"3997","Hwy 90 In North Daphne Across From O'charley's","6845 Hwy 90 E Ste 105","Daphne","AL","36526","(251) 626-3588","store3997@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 8:30 am - 2:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 5:30 pm Saturday 12:00 pm","Monday - Friday 5:30 pm","(251) 626-1145","30.6558194","-87.9052628","https://daphne-al-3997.theupsstorelocal.com/","POINT_OF_INTEREST: APPROXIMATE","","United States","US"
"6749","Conveniently Located In The Publix Shopping Center","1605 Beltline Rd Sw Ste D8","Decatur","AL","35601","(256) 566-6161","store6749@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 10:00 am - 4:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 5:30 pm Saturday 3:00 pm","Monday - Friday 5:30 pm","(256) 642-2652","34.5651355","-87.0123398","https://decatur-al-6749.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Morgan County","United States","US"
"5416","Fountain Plaza Shopping Ctr Near Ted's Jewelers On The Circle","2932 Ross Clark Circle","Dothan","AL","36301","(334) 671-0881","store5416@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 10:00 am - 4:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:00 pm","Monday - Friday 6:00 pm","(334) 671-1821","31.2200205","-85.4311869","https://dothan-al-5416.theupsstorelocal.com/","PREMISE: ROOFTOP","Houston County","United States","US"
"6732","","1109 Boll Weevil Cir Ste 8","Enterprise","AL","36330","(334) 417-0051","store6732@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:00 pm","Monday - Friday 6:00 pm","(334) 417-0053","31.3340698","-85.8567675","https://enterprise-al-6732.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Coffee County","United States","US"
"1918","Plantation Pointe Shopping Center At Highway 98","82 Plantation Pointe Rd","Fairhope","AL","36532","(251) 928-6245","store1918@theupsstore.com","Monday - Friday: 7:00 am - 6:00 pm Saturday: 9:00 am - 1:00 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 5:00 pm Saturday 12:00 pm","Monday - Friday 5:00 pm","(251) 990-9545","30.525063","-87.8842436","https://fairhope-al-1918.theupsstorelocal.com/","PREMISE: ROOFTOP","Baldwin County","United States","US"
"6145","Across From Cracker Barrel In The Florence Square Shopping Center On Cox Creek Pkwy","139 Cox Creek Pkwy S","Florence","AL","35630","(256) 766-9843","store6145@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 5:30 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:00 pm","Monday - Friday 6:00 pm","(256) 766-9845","34.8284815","-87.6277224","https://florence-al-6145.theupsstorelocal.com/","STREET_ADDRESS: RANGE_INTERPOLATED","Lauderdale County","United States","US"
"4841","Located In","2159 S Mckenzie St","Foley","AL","36535","(251) 970-5877","store4841@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 8:00 am - 1:30 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 11:00 am Saturday 11:00 am","Monday - Friday 5:00 pm","(251) 970-5977","30.3834638","-87.6823398","https://foley-al-4841.theupsstorelocal.com/","PREMISE: ROOFTOP","Baldwin County","United States","US"
"6183","Next To Walmart / Across From Ryan's Steakhouse","1825 Glenn Blvd Sw","Ft Payne","AL","35968","(256) 845-4100","store6183@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 2:30 pm Sunday: Closed","Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating, Stapling","Monday - Friday 6:00 pm Saturday 12:00 pm","Monday - Friday 6:00 pm","(256) 845-4113","34.4390223","-85.7584812","https://ftpayne-al-6183.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Dekalb County","United States","US"
"6486","","210 Fieldstown Rd Ste 100","Gardendale","AL","35071","(205) 631-8878","store6486@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 4:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 1:30 pm","Monday - Friday 6:00 pm","(205) 631-2566","33.6524088","-86.8123435","https://gardendale-al-6486.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Jefferson County","United States","US"
"1708","Rouse's Shopping Center At Highway 59 And Ft. Morgan Road","1545 Gulf Shores Pkwy","Gulf Shores","AL","36542","(251) 968-4877","store1708@theupsstore.com","Monday - Friday: 7:00 am - 6:00 pm Saturday: 9:00 am - 1:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Business Cards, Posters, Banners","Monday - Friday 5:00 pm Saturday 11:00 pm","Monday - Friday 5:00 pm","(251) 968-7705","30.2659328","-87.6900603","https://gulfshores-al-1708.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Baldwin County","United States","US"
"3425","Behind Piggly Wiggly Just Off Hwy 31","1919 Oxmoor Rd","Homewood","AL","35209","(205) 868-4367","store3425@theupsstore.com","Monday - Friday: 8:00 am - 6:00 pm Saturday: 9:00 am - 5:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 2:00 pm","Monday - Friday 5:30 pm","(205) 868-4369","33.478088","-86.788398","https://homewood-al-3425.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Jefferson County","United States","US"
"924","The Patton Chapel Plaza, Across From Crest Cadillac","1678 Montgomery Hwy Ste 104","Hoover","AL","35216","(205) 823-8899","store0924@theupsstore.com","Monday - Friday: 7:30 am - 6:00 pm Saturday: 9:30 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 1:30 pm","Monday - Friday 5:30 pm","(205) 823-8887","33.3916214","-86.8072519","https://hoover-al-0924.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Jefferson County","United States","US"
"2389","Publix Shopping Center (2 Blks From Jeff State Community College)","5184 Caldwell Mill Rd Ste 204","Hoover","AL","35244","(205) 980-8180","store2389@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:45 pm Saturday 12:00 pm","Monday - Friday 5:45 pm","(205) 980-8182","33.3861045","-86.7400203","https://hoover-al-2389.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Shelby County","United States","US"
"6511","","2910 Allison Bonnett Memorial Dr Ste 106","Hueytown","AL","35023","(205) 744-5972","store6511@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:30 pm","Monday - Friday 6:00 pm","(205) 744-5974","33.4529972","-86.9716298","https://hueytown-al-6511.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Jefferson County","United States","US"
"2433","Corner Of Airport Road And Whitesburg Drive","4800 Whitesburg Dr Ste 30","Huntsville","AL","35802","(256) 880-8770","store2433@theupsstore.com","Monday - Friday: 8:00 am - 6:00 pm Saturday: 8:00 am - 4:00 pm Sunday: Closed","Business Cards, Online Printing, Mobile Printing, Full Service Digital Printing, Binding, Laminating","Monday - Friday 5:15 pm Saturday 12:30 pm","Monday - Friday 5:15 pm","(256) 880-7710","34.6928304","-86.5695764","https://huntsville-al-2433.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Madison County","United States","US"
"4355","Super Target Shopping Center, Next To Atlanta Bread Company","6275 University Dr Nw Ste 37","Huntsville","AL","35806","(256) 971-1913","store4355@theupsstore.com","Monday - Thursday: 8:00 am - 6:30 pm Friday: 8:00 am - 6:00 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Business Cards, Menus, Online Printing, Mobile Printing, Full Service Digital Printing, Binding","Monday - Friday 5:30 pm Saturday 1:30 pm","Monday - Friday 5:30 pm","(256) 971-1930","34.7438827","-86.6820899","https://huntsville-al-4355.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Madison County","United States","US"
"3551","Next To China Gourmet And Southern Wholesale Jewelers","900 Hwy 78 E","Jasper","AL","35501","(205) 384-0507","store3551@theupsstore.com","Monday: 8:00 am - 6:00 pm Tuesday - Friday: 7:30 am - 6:00 pm Saturday: 9:00 am - 3:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 5:30 pm Saturday 11:00 am","Monday - Friday 5:30 pm","(205) 384-0806","33.8480344","-87.264957","https://jasper-al-3551.theupsstorelocal.com/","STREET_ADDRESS: ROOFTOP","Walker County","United States","US"
"5217","New Location In The Publix Center!","12060 County Line Rd Ste J","Madison","AL","35756","(256) 232-3474","store5217@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 4:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:30 pm","Monday - Friday 6:00 pm","(256) 232-3406","34.7296671","-86.788029","https://madison-al-5217.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Limestone County","United States","US"
"2988","Publix Shopping Ctr @ Hwy 20 West And Shelton/Zierdt Road","8000 Madison Blvd Ste D102","Madison","AL","35758","(256) 464-3700","store2988@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 9:00 am - 4:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:30 pm","Monday - Friday 6:00 pm","(256) 464-3045","34.6916735","-86.7182811","https://madison-al-2988.theupsstorelocal.com/","SUBPREMISE: ROOFTOP","Madison County","United States","US"
"5632","Korbet's Square At The Loop (Midtown)","2029B Airport Blvd","Mobile","AL","36606","(251) 473-1022","store5632@theupsstore.com","Monday - Friday: 8:00 am - 6:30 pm Saturday: 10:00 am - 4:00 pm Sunday: Closed","Flyers, Brochures, Presentations and Manuals, Newsletters, Business Cards, Letterhead","Monday - Friday 6:00 pm Saturday 12:00 pm","Monday - Friday 6:00 pm","(251) 473-1058","30.6759723","-88.0891204","https://mobile-al-5632.theupsstorelocal.com/","PREMISE: ROOFTOP","Mobile County","United States","US"
